"filename", "language", "YAML", "Markdown", "C++", "Groovy", "Properties", "JSON", "HTML", "XML", "Swift", "Dart", "comment", "blank", "total"
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\AddScreenPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 234, 1, 10, 245
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\ChangePassword.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 3, 34
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\HomeScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 7, 9, 68
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\Inventory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 369, 2, 10, 381
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\ProfileScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 26, 3, 209
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\ScanScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 2, 13, 147
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\components\PackageOverlay.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 370, 15, 385
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\hm.md", "Markdown", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 97
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\Pages\widgets\ProfileButton.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 1, 7, 71
"d:\StartupDevRepos\pmx\pmx-mobile\lib\Screen\WrapperScreen\wrapper_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 7, 84
"d:\StartupDevRepos\pmx\pmx-mobile\lib\components\RoundButton.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 1, 5, 45
"d:\StartupDevRepos\pmx\pmx-mobile\lib\components\RoundInputField.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 1, 5, 69
"d:\StartupDevRepos\pmx\pmx-mobile\lib\components\RoundPasswordField.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 1, 6, 80
"d:\StartupDevRepos\pmx\pmx-mobile\lib\components\TextContainer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 4, 24
"d:\StartupDevRepos\pmx\pmx-mobile\lib\components\background.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 3, 32
"d:\StartupDevRepos\pmx\pmx-mobile\lib\constant.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
"d:\StartupDevRepos\pmx\pmx-mobile\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 4, 33
"d:\StartupDevRepos\pmx\pmx-mobile\lib\models\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 27, 234
"d:\StartupDevRepos\pmx\pmx-mobile\lib\models\modals.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 502, 0, 47, 549
"d:\StartupDevRepos\pmx\pmx-mobile\lib\models\package.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 6, 13, 292
"d:\StartupDevRepos\pmx\pmx-mobile\lib\models\server.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 5
"d:\StartupDevRepos\pmx\pmx-mobile\lib\models\status.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 36, 10, 85
"d:\StartupDevRepos\pmx\pmx-mobile\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\StartupDevRepos\pmx\pmx-mobile\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\StartupDevRepos\pmx\pmx-mobile\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\StartupDevRepos\pmx\pmx-mobile\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\StartupDevRepos\pmx\pmx-mobile\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\StartupDevRepos\pmx\pmx-mobile\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\StartupDevRepos\pmx\pmx-mobile\macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\StartupDevRepos\pmx\pmx-mobile\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\StartupDevRepos\pmx\pmx-mobile\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
